ANNOSCOLASTICO;CODICESCUOLA;INDIRIZZOSCUOLA;DenominazioneIstitutoRiferimento;DenominazioneScuola;CAPSCUOLA;PERCORSO;INDIRIZZOSCOLASTICA;ALUNNIMASCHI;ALUNNIFEMMINE
202021;MITF11050X;VIA CRESCENZAGO 110;ITT-LS MOLINARI;MOLINARI;20132;TECNOLOGICO;CHIM. MATER. BIOTECN. - BIENNIO COMUNE;5;3
202021;MIRC079017;VIALE LOMBARDIA 89;"I.I.S. ""CATERINA DA SIENA""";"I.P.S. ""CATERINA DA SIENA""";20131;IeFP;OPERATORE DELL'ABBIGLIAMENTO E DEI PRODOTTI TESSILI PER LA CASA;0;16
202021;MIRC058016;VIA OTRANTO 1;PAOLO FRISI;PAOLO FRISI;20157;SERVIZI;PRODOTTI DOLCIARI ARTIGIANALI E INDUSTRIALI - OPZIONE;4;20
202021;MIPM11000D;BASTIONI PORTA VOLTA 16;CARLO TENCA;CARLO TENCA;20121;LINGUISTICO;LINGUISTICO;5;45
202021;MIPC110009;VIA DELLA PASSIONE 12;E.SETTI CARRARO DALLA CHIESA C/O EDUC.;E.SETTI CARRARO DALLA CHIESA C/O EDUC.;20122;INTERNAZIONALE;LICEO LINGUISTICO INTERNAZIONALE - OPZIONE SPAGNOLA;1;24
202021;MITF11000E;VIA CRESCENZAGO 110;ITT-LS MOLINARI;ITT-LS MOLINARI;20132;TECNOLOGICO;TELECOMUNICAZIONI;26;3
202021;MIPS05401A;VIA GATTI 14;GALVANI;GALVANI;20162;LINGUISTICO;LICEO LINGUISTICO - ESABAC;6;18
202021;MITF290008;VIA A. DE VINCENTI 11;ETTORE CONTI;ETTORE CONTI;20148;SCIENTIFICO;SCIENTIFICO - OPZIONE SCIENZE APPLICATE;105;38
202021;MIRI072015;VIA ALCUINO 4;SEVERI - CORRENTI;C.CORRENTI;20149;NUOVI PROFESSIONALI;ARTI AUSILIARIE DELLE PROFESSIONI SANITARIE: ODONTOTECNICO;33;21
202021;MISL01000C;VIA HAJECH 27;LICEO ARTISTICO STATALE DI BRERA;LICEO ARTISTICO STATALE DI BRERA;20129;ARTISTICO;DESIGN - ARREDAMENTO E LEGNO;18;32
202021;MITF10101R;VIA U. DINI 7;TORRICELLI;TORRICELLI;20142;TECNOLOGICO;INFORMATICA;41;3
202021;MITF093013;VIA F.LLI ZOIA 130;MARIE CURIE - PIERO SRAFFA;MARIE CURIE;20153;TECNOLOGICO;CHIMICA E MATERIALI;9;3
202021;MITF290008;VIA A. DE VINCENTI 11;ETTORE CONTI;ETTORE CONTI;20148;TECNOLOGICO;ELETTR. ED ELETTROTEC.- BIENNIO COMUNE;43;0
202021;MISL01000C;VIA HAJECH 27;LICEO ARTISTICO STATALE DI BRERA;LICEO ARTISTICO STATALE DI BRERA;20129;ARTISTICO;ARCHITETTURA E AMBIENTE;12;36
202021;MIPM11000D;BASTIONI PORTA VOLTA 16;CARLO TENCA;CARLO TENCA;20121;MUSICALE E COREUTICO;MUSICALE E COREUTICO - SEZ. MUSICALE;25;13
202021;MITF11050X;VIA CRESCENZAGO 110;ITT-LS MOLINARI;MOLINARI;20132;TECNOLOGICO;INFOR. TELECOM. - BIENNIO COMUNE;24;1
202021;MIRC079017;VIALE LOMBARDIA 89;"I.I.S. ""CATERINA DA SIENA""";"I.P.S. ""CATERINA DA SIENA""";20131;IeFP;OPERATORE GRAFICO;24;15
202021;MIRC058016;VIA OTRANTO 1;PAOLO FRISI;PAOLO FRISI;20157;SERVIZI;SERVIZI COMMERCIALI;8;11
202021;MIRI01701L;VIA NARNI 18;I.I.S. JAMES CLERK MAXWELL;SETTEMBRINI;20132;INDUSTRIA E ARTIGIANATO;MANUTENZIONE DEI MEZZI DI TRASPORTO - OPZIONE;39;1
202021;MIPS05401A;VIA GATTI 14;GALVANI;GALVANI;20162;LINGUISTICO;LINGUISTICO;10;42
202021;MIPS08000T;VIA BENEDETTO MARCELLO7;VOLTA;VOLTA;20124;SCIENTIFICO;SCIENTIFICO;129;98
202021;MITD09901Q;VIA SETTEMBRINI 4;SCHIAPARELLI-GRAMSCI;SCHIAPARELLI;20124;ECONOMICO;SISTEMI INFORMATIVI AZIENDALI;21;4
202021;MITF093013;VIA F.LLI ZOIA 130;MARIE CURIE - PIERO SRAFFA;MARIE CURIE;20153;TECNOLOGICO;INFORMATICA;66;5
202021;MITF10101R;VIA U. DINI 7;TORRICELLI;TORRICELLI;20142;TECNOLOGICO;MECC. MECCATRON. ENER. - BIENNIO COMUNE;24;1
202021;MISL01000C;VIA HAJECH 27;LICEO ARTISTICO STATALE DI BRERA;LICEO ARTISTICO STATALE DI BRERA;20129;ARTISTICO;ARTI FIGURATIVE - PLASTICO PITTORICO;17;60
202021;MITN102018;VIA MELZI D'ERIL 9;DANIELE MARIGNONI - MARCO POLO;DANIELE MARIGNONI-MARCO POLO;20154;ECONOMICO;TURISMO;8;29
202021;MIPM03000T;VIA TABACCHI 17;AGNESI;AGNESI;20136;LINGUISTICO;LINGUISTICO;10;54
202021;MIRC079017;VIALE LOMBARDIA 89;"I.I.S. ""CATERINA DA SIENA""";"I.P.S. ""CATERINA DA SIENA""";20131;NUOVI PROFESSIONALI;INDUSTRIA E ARTIGIANATO PER IL MADE IN ITALY;3;65
202021;MIRC058016;VIA OTRANTO 1;PAOLO FRISI;PAOLO FRISI;20157;SERVIZI;ACCOGLIENZA TURISTICA - TRIENNIO;11;14
202021;MIPS039018;VIA FRANCESCO GATTI 16;BERTRAND RUSSELL;BERTRAND RUSSELL;20162;SCIENZE UMANE;SCIENZE UMANE;11;65
202021;MIPM11000D;BASTIONI PORTA VOLTA 16;CARLO TENCA;CARLO TENCA;20121;SCIENZE UMANE;SCIENZE UMANE;6;60
202021;MIRC05851G;VIA OTRANTO - CITTADINI1;PAOLO FRISI;FRISI;20157;SERVIZI;SERVIZI SOCIO-SANITARI;7;32
202021;MIPC110009;VIA DELLA PASSIONE 12;E.SETTI CARRARO DALLA CHIESA C/O EDUC.;E.SETTI CARRARO DALLA CHIESA C/O EDUC.;20122;CLASSICO;CLASSICO;4;15
202021;MIPS08101P;VIA LATTANZIO 38;"""P. VERRI""";"""P. VERRI""";20137;LINGUISTICO;LINGUISTICO;29;97
202021;MITF11000E;VIA CRESCENZAGO 110;ITT-LS MOLINARI;ITT-LS MOLINARI;20132;TECNOLOGICO;CHIMICA E MATERIALI;32;4
202021;MIPS05401A;VIA GATTI 14;GALVANI;GALVANI;20162;LINGUISTICO;LICEO LINGUISTICO - ESABAC;1;21
